id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
RDN,12749701,722460.22,0.0,$0.01B,$0.00B,$0.01B (0.0%)
MRPH,12745308,958920.39,0.0,$0.01B,$0.00B,$0.01B (0.0%)
MET,12537565,103041.53,0.0,$0.01B,$0.00B,$0.01B (0.0%)
TKN,12505545,310623.61,0.0,$0.01B,$0.00B,$0.01B (0.0%)
BOS,12431584,1862.68,0.0,$0.01B,$0.00B,$0.01B (0.0%)
PLU,12236462,301840.28,0.0,$0.01B,$0.00B,$0.01B (0.0%)
NXT,12233383,1165420.9,0.0,$0.01B,$0.00B,$0.01B (0.0%)
1ST,12115595,291.33,0.0,$0.01B,$0.00B,$0.01B (0.0%)
APL,11977881,575837.28,0.0,$0.01B,$0.00B,$0.01B (0.0%)
CHR,11830070,2420151.52,0.0,$0.01B,$0.00B,$0.01B (0.0%)
KAN,11748171,485941.02,0.0,$0.01B,$0.00B,$0.01B (0.0%)
COCOS,11696922,837608.56,0.0,$0.01B,$0.00B,$0.01B (0.0%)
AERGO,11545303,3912071.51,0.0,$0.01B,$0.00B,$0.01B (0.0%)
QASH,11504260,124813.77,0.0,$0.01B,$0.00B,$0.01B (0.0%)
COV,11499551,16049.08,0.0,$0.01B,$0.00B,$0.01B (0.0%)
GHOST,11309278,340464.91,0.0,$0.01B,$0.00B,$0.01B (0.0%)
DF,11308314,1399088.64,0.0,$0.01B,$0.00B,$0.01B (0.0%)
MDT,11170765,1411112.67,0.0,$0.01B,$0.00B,$0.01B (0.0%)
BTC2,11005726,119.51,0.0,$0.01B,$0.00B,$0.01B (0.0%)
WTC,10818490,1617492.8,0.0,$0.01B,$0.00B,$0.01B (0.0%)
GTO,10792814,10094066.33,0.0,$0.01B,$0.01B,$0.01B (0.0%)
WANATHA,10593170,752144.33,0.0,$0.01B,$0.00B,$0.01B (0.0%)
DHT2,10452131,2258728.54,0.0,$0.01B,$0.00B,$0.01B (0.0%)
ZNN,10396928,319467.09,0.0,$0.01B,$0.00B,$0.01B (0.0%)
VALUE,10295632,26345331.56,0.0,$0.01B,$0.03B,$0.01B (0.0%)
VTC,9891815,101109.01,0.0,$0.01B,$0.00B,$0.01B (0.0%)
PHX,9750918,102871.15,0.0,$0.01B,$0.00B,$0.01B (0.0%)
DCN,9624566,210833.8,0.0,$0.01B,$0.00B,$0.01B (0.0%)
MDA,9616199,651368.41,0.0,$0.01B,$0.00B,$0.01B (0.0%)
PI,9454259,427576.07,0.0,$0.01B,$0.00B,$0.01B (0.0%)
KDA,9436830,278873.44,0.0,$0.01B,$0.00B,$0.01B (0.0%)
QRL,9436594,1035210.49,0.0,$0.01B,$0.00B,$0.01B (0.0%)
PPT,9279047,729570.62,0.0,$0.01B,$0.00B,$0.01B (0.0%)
ETP,9073323,85665.87,0.0,$0.01B,$0.00B,$0.01B (0.0%)
BULL,8990597,83662.12,0.0,$0.01B,$0.00B,$0.01B (0.0%)
XPX,8891492,189120.0,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SKY,8874344,373254.85,0.0,$0.01B,$0.00B,$0.01B (0.0%)
GRID,8799124,129837.24,0.0,$0.01B,$0.00B,$0.01B (0.0%)
